oa_funder_id,oa_funder_name
https://openalex.org/F4320327785,Major Program of National Fund of Philosophy and Social Science of China
https://openalex.org/F4320321848,Cambridge Trust
https://openalex.org/F4320329813,Henry Lester Trust
https://openalex.org/F4320318614,Anhui Office of Philosophy and Social Science
https://openalex.org/F4320336580,Chengdu Office of Philosophy and Social Science
https://openalex.org/F4320337228,"Faculty of Liberal Arts and Social Sciences, Education University of Hong Kong"
https://openalex.org/F4320313895,Department of Science and Technology of Shandong Province
https://openalex.org/F4320333596,Key Technology Research and Development Program of Shandong
https://openalex.org/F4320323441,"Chang Gung Memorial Hospital, Linkou"
https://openalex.org/F4320323845,Natural Science Foundation of Henan Province
https://openalex.org/F4320318558,Peng Cheng Laboratory
https://openalex.org/F4320326980,State Key Laboratory of Explosion Science and Technology
https://openalex.org/F4320326964,Qingdao University
https://openalex.org/F4320321570,China National Petroleum Corporation
https://openalex.org/F4320327777,Jiangsu Provincial Key Research and Development Program
https://openalex.org/F4320320955,Hong Kong Baptist University
https://openalex.org/F4320328117,Minzu University of China
https://openalex.org/F4320331156,King Faisal University
https://openalex.org/F4320326997,State Key Laboratory of Coastal and Offshore Engineering
https://openalex.org/F4320322975,Danish e-Infrastructure Cooperation
https://openalex.org/F4320338453,HORIZON EUROPE European Research Council
https://openalex.org/F4320330561,Key Laboratory of Modern Manufacturing Technology of the Ministry of Education
https://openalex.org/F4320327665,Key Laboratory for Magnetic Resonance and Multimodality Imaging of Guangdong Province
https://openalex.org/F4320329504,First Affiliated Hospital of Zhengzhou University
https://openalex.org/F4320329752,Health and Family Planning Commission of Lianyungang City
https://openalex.org/F4320335961,National Science and Technology Planning Project
https://openalex.org/F4320335480,Guangzhou Municipal Science and Technology Project
https://openalex.org/F4320320766,Nanyang Technological University
https://openalex.org/F4320322665,Natural Science Foundation of Jiangxi Province
https://openalex.org/F4320322170,University of Hong Kong
https://openalex.org/F4320322292,Jinan University
https://openalex.org/F4320327726,"Natural Science Foundation Project of Chongqing, Chongqing Science and Technology Commission"
https://openalex.org/F4320327511,Development and Reform Commission of Shenzhen Municipality
https://openalex.org/F4320312452,Columbus State University
https://openalex.org/F4320323190,Fujian Provincial Department of Science and Technology
https://openalex.org/F4320331100,Fujian Provincial Federation of Social Sciences
https://openalex.org/F4320334764,Japan Society for the Promotion of Science
https://openalex.org/F4320323066,Beijing Jiaotong University
https://openalex.org/F4320328098,Harbin Normal University
https://openalex.org/F4320322493,Ministry of Railways
https://openalex.org/F4320335574,Joint Research Fund for Overseas Chinese Scholars and Scholars in Hong Kong and Macao
https://openalex.org/F4320331088,Natural Science Foundation for Young Scientists of Shanxi Province
https://openalex.org/F4320321106,Ministry of Education of the People's Republic of China
https://openalex.org/F4320308297,Craig H. Neilsen Foundation
https://openalex.org/F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development
https://openalex.org/F4320322174,People's Government of Jilin Province
https://openalex.org/F4320326270,Education Department of Jilin Province
https://openalex.org/F4320328566,Dongguan University of Technology
https://openalex.org/F4320322858,State Government of Victoria
https://openalex.org/F4320328958,Department of Science and Technology of Inner Mongolia
https://openalex.org/F4320327519,Jiangxi University of Traditional Chinese Medicine
https://openalex.org/F4320336746,Key Science and Technology Research Project in Jiangxi Province Department of Education
https://openalex.org/F4320335683,"Key Laboratory of Coal Resources Exploration and Comprehensive Utilization, Ministry of Land and Resources"
https://openalex.org/F4320324302,Kunming University of Science and Technology
https://openalex.org/F4320311904,Wellcome Trust
https://openalex.org/F4320328750,Wannan Medical College
https://openalex.org/F4320322651,Consiglio Nazionale delle Ricerche
https://openalex.org/F4320309618,Ministry of Science and Technology
https://openalex.org/F4320322397,Instituto Politécnico de Macau
https://openalex.org/F4320329539,Xuzhou Science and Technology Bureau
https://openalex.org/F4320328756,Program for the Scientific Activities of Selected Returned Overseas Professionals in Shaanxi Province
https://openalex.org/F4320331075,Science and Technology Innovation Group of Shanxi Province
https://openalex.org/F4320336035,Shanxi Provincial Key Research and Development Project
https://openalex.org/F4320324699,Ministerial Standing Committee on Scientific and Technological Cooperation of the Organization of Islamic Cooperation
https://openalex.org/F4320329337,Hui Hoy and Chow Sin Lan Charity Fund
https://openalex.org/F4320324679,Shenyang Science and Technology Bureau
https://openalex.org/F4320326183,Doctoral Start-up Foundation of Liaoning Province
https://openalex.org/F4320329351,Liaoning Shihua University
https://openalex.org/F4320310972,Shantou University
https://openalex.org/F4320310906,National Research Council Sri Lanka
https://openalex.org/F4320313096,Diamond Light Source
https://openalex.org/F4320336624,Social Science Planning Project of Shandong Province
https://openalex.org/F4320325397,"Centre of Excellence for Electromaterials Science, Australian Research Council"
https://openalex.org/F4320338245,Support Program for Starting up Innovation Hub
https://openalex.org/F4320336082,"Institute of Construction and Environmental Engineering, Seoul National University"
https://openalex.org/F4320336769,"Institute of Engineering Research, Seoul National University"
https://openalex.org/F4320335796,Program of Shanghai Academic Research Leader
https://openalex.org/F4320326909,State Key Laboratory of Hydraulics and Mountain River Engineering
https://openalex.org/F4320323370,Hainan University
https://openalex.org/F4320324882,Hainan Provincial Department of Science and Technology
https://openalex.org/F4320326503,"General Administration of Quality Supervision, Inspection and Quarantine of the People's Republic of China"
https://openalex.org/F4320313610,Shanghai Science and Technology Development Foundation
https://openalex.org/F4320332462,"Horace H. Rackham School of Graduate Studies, University of Michigan"
https://openalex.org/F4320337366,Division of Social and Economic Sciences
https://openalex.org/F4320336348,Affiliated Hospital of Southwest Medical University
https://openalex.org/F4320330924,People's Public Security University of China
https://openalex.org/F4320327027,State Key Laboratory of Subtropical Building Science
https://openalex.org/F4320333334,Guangdong Province Introduction of Innovative R&D Team
https://openalex.org/F4320321160,Sun Yat-sen University
https://openalex.org/F4320326696,Jiangxi Provincial Department of Science and Technology
https://openalex.org/F4320330743,Guangzhou Municipal Science and Technology Bureau
https://openalex.org/F4320313613,Natural Science Foundation of Guangxi Zhuang Autonomous Region
https://openalex.org/F4320323192,China Southern Power Grid
https://openalex.org/F4320320006,Royal Society
https://openalex.org/F4320315885,Australian Government
https://openalex.org/F4320322685,Chongqing Technology and Business University
https://openalex.org/F4320323291,Food and Health Bureau
https://openalex.org/F4320326679,Guangdong Office of Philosophy and Social Science
https://openalex.org/F4320325835,Université de Recherche Paris Sciences et Lettres
https://openalex.org/F4320337336,Advanced Remanufacturing and Technology Centre
https://openalex.org/F4320329853,International Science and Technology Cooperation Program of Jiangsu Province
https://openalex.org/F4320309105,Cleveland State University
https://openalex.org/F4320331518,Centro Svizzero di Calcolo Scientifico
https://openalex.org/F4320334678,European Research Council
https://openalex.org/F4320306219,Alzheimer's Association
https://openalex.org/F4320320300,European Commission
https://openalex.org/F4320321705,Eusko Jaurlaritza
https://openalex.org/F4320322930,Ministerio de Ciencia e Innovación
https://openalex.org/F4320331146,Agencia Nacional de Investigación y Desarrollo
https://openalex.org/F4320334832,Agencia Nacional de Promoción Científica y Tecnológica
https://openalex.org/F4320335598,Agencia Estatal de Investigación
https://openalex.org/F4320326849,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation
https://openalex.org/F4320326848,State Key Laboratory of Geohazard Prevention and Geoenvironment Protection
https://openalex.org/F4320324887,Shandong Academy of Sciences
