doi,oa_funder_id,oa_award_id
https://doi.org/10.3390/ijms23137372,https://openalex.org/F4320337350,EY005722
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320321001,61976147
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320322598,G-YW4H
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320322598,#RTVU
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320333688,62006203
https://doi.org/10.1007/s10915-022-01882-z,https://openalex.org/F4320335581,11601327
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,61705102
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,51972172
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,51802253
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321543,2021M692630
https://doi.org/10.1186/s40814-022-01094-0,https://openalex.org/F4320322598,1-ZE4G
https://doi.org/10.3390/ma15124340,https://openalex.org/F4320321001,52008003
https://doi.org/10.3390/ma15124340,https://openalex.org/F4320321001,51908418
https://doi.org/10.3389/fpsyg.2022.898171,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,11731010
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,12101521
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,11671109
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321940,
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320322598,P0036186
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320321091,
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,305143/2015-8
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,303365/2019-6
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,305026/2017-8
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/203.871/2021
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.532/2018
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.789/2017
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/211.186/2021
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/010.101216/2018
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.924/2019
https://doi.org/10.1002/acs.3417,https://openalex.org/F4320321001,61573113
https://doi.org/10.1002/acs.3417,https://openalex.org/F4320322725,202006680080
https://doi.org/10.1007/s00371-022-02523-0,https://openalex.org/F4320333334,2014ZT05G157
https://doi.org/10.1002/ejic.202200281,https://openalex.org/F4320320904,
https://doi.org/10.1002/er.8176,https://openalex.org/F4320337015,
https://doi.org/10.1002/er.8176,https://openalex.org/F4320338464,LY20E060002
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321001,62103293
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321001,52105387
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321543,2021M692349
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320322769,BK20210709
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320326708,SYG202138
https://doi.org/10.1037/pspa0000307,https://openalex.org/F4320320766,
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320323084,3102021TS0406
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320323084,3102021ZD0401
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320335787,
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321001,62173098
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321001,12104074
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321543,2020M683233
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,11991021
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,11971466
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,12125108
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321592,PolyU15300120
https://doi.org/10.3389/fsurg.2022.852653,https://openalex.org/F4320321001,81271991 and 12172224
https://doi.org/10.1016/j.polymertesting.2022.107631,https://openalex.org/F4320321001,31871442
https://doi.org/10.1016/j.polymertesting.2022.107631,https://openalex.org/F4320321001,51303049
https://doi.org/10.1186/s12886-022-02440-9,https://openalex.org/F4320321001,No. 82070929
https://doi.org/10.1016/j.jmps.2022.104919,https://openalex.org/F4320322598,
https://doi.org/10.1364/oe.457493,https://openalex.org/F4320321019,PolyU R5006-21
https://doi.org/10.3390/en15093116,https://openalex.org/F4320321001,51808239
https://doi.org/10.1007/s00170-022-09222-z,https://openalex.org/F4320321001,51835011
https://doi.org/10.1007/s00170-022-09222-z,https://openalex.org/F4320322598,ZE1W
https://doi.org/10.1111/jace.18496,https://openalex.org/F4320321921,2022A1515011891
https://doi.org/10.1364/oe.457998,https://openalex.org/F4320321001,62105273
https://doi.org/10.1364/oe.457998,https://openalex.org/F4320335777,2018YFB1801701
https://doi.org/10.3389/fpsyg.2022.860567,https://openalex.org/F4320321145,RSP-2021/251
https://doi.org/10.1364/oe.454207,https://openalex.org/F4320306076,000511-00001
https://doi.org/10.1364/oe.454207,https://openalex.org/F4320321001,62075188
https://doi.org/10.1364/oe.454207,https://openalex.org/F4320338464,LY21F050007
https://doi.org/10.1016/j.apmt.2022.101463,https://openalex.org/F4320321592,
https://doi.org/10.3389/fpsyt.2022.803661,https://openalex.org/F4320322598,1-ZE8H
https://doi.org/10.1121/10.0009611,https://openalex.org/F4320321001,11774297
https://doi.org/10.1121/10.0009611,https://openalex.org/F4320321592,PolyU 15205219
https://doi.org/10.1121/10.0009611,https://openalex.org/F4320322598,ZZLC
https://doi.org/10.1121/10.0009611,https://openalex.org/F4320335581,12104383
https://doi.org/10.1080/19388160.2022.2049943,https://openalex.org/F4320321001,71902169
https://doi.org/10.1063/5.0084906,https://openalex.org/F4320321592,15222017
https://doi.org/10.1063/5.0084906,https://openalex.org/F4320335581,52001219
https://doi.org/10.1016/j.renene.2022.02.107,https://openalex.org/F4320322598,P0035016
https://doi.org/10.1155/2022/9970106,https://openalex.org/F4320321001,51405169
https://doi.org/10.1155/2022/9970106,https://openalex.org/F4320321001,ZQN-704
https://doi.org/10.1155/2022/9970106,https://openalex.org/F4320335787,51405169
https://doi.org/10.1155/2022/9970106,https://openalex.org/F4320335787,ZQN-704
https://doi.org/10.3389/fbioe.2022.824297,https://openalex.org/F4320321001,11732015 11972315
https://doi.org/10.1080/10705422.2022.2027305,https://openalex.org/F4320321592, Project No: UGC/IDS24/18
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321001,61927818
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321001,61905028
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321001,61933004
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321001,61635004
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321106,ZYGX2021K010
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320321543,2018M643406
https://doi.org/10.1364/ol.450124,https://openalex.org/F4320336125,61825501
https://doi.org/10.1080/09297049.2021.2023121,https://openalex.org/F4320320981,
https://doi.org/10.1016/j.ejor.2022.01.026,https://openalex.org/F4320321001,72171204
https://doi.org/10.1016/j.ejor.2022.01.026,https://openalex.org/F4320321001,72172167
https://doi.org/10.1038/s41598-022-05680-3,https://openalex.org/F4320336711,09100071
https://doi.org/10.1080/15481603.2022.2026637,https://openalex.org/F4320335777,2019YFB2103102
https://doi.org/10.1109/tmag.2022.3142192,https://openalex.org/F4320321001,52077187
https://doi.org/10.1109/tmag.2022.3142192,https://openalex.org/F4320329815,PolyU 152143/18E
https://doi.org/10.1021/acs.langmuir.1c02825,https://openalex.org/F4320321001,91941101
https://doi.org/10.1016/j.matchar.2021.111687,https://openalex.org/F4320321001,
https://doi.org/10.1016/j.matchar.2021.111687,https://openalex.org/F4320326685,
https://doi.org/10.1016/j.matchar.2021.111687,https://openalex.org/F4320326705,
https://doi.org/10.3390/rs14010013,https://openalex.org/F4320321001,"42074028,41704021, 41701513 and 41604027"
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61801245
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61871235
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61471205
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61771256
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61801377
https://doi.org/10.1109/jsen.2021.3133488,https://openalex.org/F4320321001,61801242
https://doi.org/10.1016/j.rinp.2021.105113,https://openalex.org/F4320321001,
https://doi.org/10.1016/j.explore.2021.11.008,https://openalex.org/F4320322598,1-ZE8G
https://doi.org/10.1049/cth2.12225,https://openalex.org/F4320321001,U1806204
https://doi.org/10.1049/cth2.12225,https://openalex.org/F4320321001,U1701264
https://doi.org/10.1049/cth2.12225,https://openalex.org/F4320321001,61922051
https://doi.org/10.1049/cth2.12225,https://openalex.org/F4320321001,61633014
https://doi.org/10.1111/poms.13606,https://openalex.org/F4320321001,72101048
https://doi.org/10.1111/poms.13606,https://openalex.org/F4320321001,72032001
https://doi.org/10.1111/poms.13606,https://openalex.org/F4320321001,71971184
