doi,year,cited_by_count
https://doi.org/10.1177/00472875241237262,2025,5
https://doi.org/10.1177/00472875241237262,2024,2
https://doi.org/10.1080/15397734.2024.2412757,2025,3
https://doi.org/10.1080/15397734.2024.2412757,2024,1
https://doi.org/10.1007/s11831-024-10164-w,2025,1
https://doi.org/10.1007/s11831-024-10164-w,2024,4
https://doi.org/10.1016/j.jrmge.2024.09.009,2025,3
https://doi.org/10.1109/tie.2024.3404150,2024,1
https://doi.org/10.1016/j.ijplas.2025.104265,2025,2
https://doi.org/10.1016/j.cma.2025.117755,2025,4
https://doi.org/10.1016/j.apenergy.2025.125390,2025,3
https://doi.org/10.1186/s12984-024-01522-7,2025,3
https://doi.org/10.1016/j.cej.2025.159539,2025,3
https://doi.org/10.1038/s41467-024-55534-x,2025,3
https://doi.org/10.1111/jiec.13606,2025,4
https://doi.org/10.1002/adma.202416387,2025,3
https://doi.org/10.1016/j.asoc.2024.112599,2025,3
https://doi.org/10.1016/j.ijhm.2024.104070,2025,2
https://doi.org/10.1016/j.apcatb.2024.124943,2025,3
https://doi.org/10.1016/j.actamat.2024.120634,2025,3
https://doi.org/10.1016/j.actamat.2024.120634,2024,1
https://doi.org/10.1016/j.bioactmat.2024.11.024,2025,1
https://doi.org/10.1016/j.engappai.2024.109769,2025,5
https://doi.org/10.1002/eqe.4275,2025,2
https://doi.org/10.1002/eqe.4275,2024,1
https://doi.org/10.1016/j.ijplas.2024.104184,2025,2
https://doi.org/10.1016/j.tust.2024.106239,2025,2
https://doi.org/10.1016/j.tust.2024.106239,2024,1
https://doi.org/10.1016/j.jhazmat.2024.136506,2025,2
https://doi.org/10.1016/j.actamat.2024.120572,2025,4
https://doi.org/10.1016/j.ijhm.2024.103998,2025,3
https://doi.org/10.1016/j.ijhm.2024.103998,2024,1
https://doi.org/10.1109/jiot.2024.3491162,2025,2
https://doi.org/10.1016/j.tre.2024.103849,2025,3
https://doi.org/10.1016/j.tre.2024.103849,2024,1
